"year","games","wins","pctwin","Team","payroll","top20","top20share"
2015,162,68,41.9753086419753,"OAK",69.349166,46091666,66.463187170845
2016,162,68,41.9753086419753,"SDP",93.853314,71575000,76.2626240347784
2016,162,68,41.9753086419753,"TBR",71.282743,37116685,52.0696643225416
2016,162,69,42.5925925925926,"ARI",91.454563,60232363,65.8604240446701
2016,162,69,42.5925925925926,"OAK",75.876234,38408334,50.619715786105
2014,162,70,43.2098765432099,"HOU",44.9858,28300000,62.9087400913177
2014,162,70,43.2098765432099,"MIN",80.9375,5e+07,61.7760617760618
2017,162,70,43.2098765432099,"NYM",174.391596,96082219,55.0956704358621
2013,163,71,43.558282208589,"SEA",60.296043,33919643,56.2551724994624
2014,162,71,43.8271604938272,"BOS",143.862395,74107270,51.5126068907722
2015,162,71,43.8271604938272,"MIA",84.6375,44900000,53.049771082558
2016,162,71,43.8271604938272,"PHI",74.462,54900000,73.7288818457737
2017,162,71,43.8271604938272,"SDP",32.128066,13981666,43.5185423237116
2017,162,72,44.4444444444444,"ATL",137.339527,91827611,66.8617498588007
2013,163,73,44.7852760736196,"PHI",144.895714,93785714,64.7263548458031
2014,162,73,45.0617283950617,"CHC",82.683714,40345000,48.7943732184067
2014,162,73,45.0617283950617,"CHW",88.550982,53166667,60.0407424053186
2016,162,73,45.0617283950617,"MIL",57.073313,42215013,73.9662913908642
2014,162,73,45.0617283950617,"PHI",152.521056,91207756,59.8001078618286
2013,163,74,45.398773006135,"COL",64.278071,39428571,61.3406257944486
2013,163,74,45.398773006135,"MIL",70.893444,40944444,57.7549089024367
2013,163,74,45.398773006135,"NYM",68.347948,47336779,69.2585225821264
2013,163,74,45.398773006135,"TOR",113.0445,56750000,50.2014693328733
2015,162,74,45.679012345679,"DET",172.28225,102550000,59.5244141517771
2016,162,74,45.679012345679,"LAA",130.351333,88783333,68.1107979156608
2015,162,74,45.679012345679,"SDP",121.027794,71108333,58.7537214798776
2018,39,18,46.1538461538462,"CLE",136.652167,74608334,54.5972564050155
2018,39,18,46.1538461538462,"NYM",172.761459,99231886,57.4386709711684
2018,39,18,46.1538461538462,"OAK",62.6525,3.9e+07,62.2481146003751
2017,162,75,46.2962962962963,"BAL",137.742237,62258525,45.1992986000365
2016,162,75,46.2962962962963,"COL",94.645071,58178571,61.4702597666179
2017,162,75,46.2962962962963,"OAK",69.636667,30916667,44.3971090689909
2017,162,75,46.2962962962963,"PIT",96.133666,45500000,47.3299333034902
2013,163,76,46.6257668711656,"SDP",62.3052,36290000,58.2455396981311
2013,163,76,46.6257668711656,"SFG",112.092501,64300000,57.3633378025886
2015,162,76,46.9135802469136,"CHW",99.302867,58550000,58.9610368449886
2014,162,76,46.9135802469136,"CIN",112.878771,60624999,53.7080608363463
2015,162,76,46.9135802469136,"SEA",115.706842,77807142,67.2450657671566
2017,162,76,46.9135802469136,"TOR",142.315867,85166667,59.8434094492078
2017,162,77,47.5308641975309,"MIA",106.6061,56500000,52.9988434057713
2014,162,77,47.5308641975309,"MIA",52.8369,30300000,57.3462864021167
2014,162,77,47.5308641975309,"SDP",79.422194,44315928,55.7979146232097
2014,162,77,47.5308641975309,"TBR",82.232623,44000018,53.5067670162972
2013,163,78,47.8527607361963,"LAA",127.89625,70200000,54.8882394909937
2015,162,78,48.1481481481481,"BOS",146.494748,78850000,53.8244551948033
2016,162,78,48.1481481481481,"CHW",109.173667,52416667,48.0121886901536
2016,162,78,48.1481481481481,"PIT",101.771166,53525000,52.5934821263618
2017,162,78,48.1481481481481,"SEA",142.20772,93846020,65.9922119558629
2017,162,78,48.1481481481481,"TEX",172.431396,111333333,64.5667410823491
2018,39,19,48.7179487179487,"CHC",181.810002,107555288,59.158069862405
2018,39,19,48.7179487179487,"SFG",221.426944,120144444,54.25917994876
2015,162,79,48.7654320987654,"ARI",63.812833,38275000,59.9800983604662
2014,162,79,48.7654320987654,"ATL",83.555673,50889650,60.90508061613
2016,162,79,48.7654320987654,"MIA",70.7081,39500000,55.863472501736
2014,162,79,48.7654320987654,"NYM",78.718636,54279646,68.9539971195639
2017,162,80,49.3827160493827,"KCR",134.425249,62450000,46.4570461759011
2017,162,80,49.3827160493827,"LAA",123.549166,70083333,56.7250555135273
2017,162,80,49.3827160493827,"TBR",68.296366,36258333,53.0896958704948
2015,162,80,49.3827160493827,"TBR",73.691251,44097018,59.8402353082593
2013,163,81,49.6932515337423,"ARI",75.1055,33500000,44.6039238138352
2015,162,81,50,"BAL",104.378208,54353208,52.0733293294324
2015,162,81,50,"CLE",85.818667,47200000,54.9996890536647
2016,162,81,50,"KCR",138.095458,5.4e+07,39.1033860070908
2014,162,82,50.6172839506173,"MIL",79.014914,56248914,71.1877178022367
2015,162,83,51.2345679012346,"MIN",103.095,5.9e+07,57.228769581454
2017,162,83,51.2345679012346,"STL",131.669599,72333333,54.9354851456637
2014,162,83,51.2345679012346,"TOR",111.4226,5.6e+07,50.2591036288868
2015,162,83,51.2345679012346,"WSN",165.81931,82797618,49.9324342864531
2018,39,20,51.2820512820513,"TOR",164.1222,8.9e+07,54.2278862944806
2016,162,84,51.8518518518518,"HOU",92.4012,47050000,50.9192521309247
2016,162,84,51.8518518518518,"NYY",205.867135,123982142,60.2243490686359
2014,162,84,51.8518518518518,"NYY",205.676092,108982142,52.9872679611201
2015,162,84,51.8518518518518,"SFG",142.062609,76227777,53.6578748881065
2013,163,85,52.1472392638037,"BAL",81.637464,42929464,52.5854943264774
2013,163,85,52.1472392638037,"NYY",182.83219,98854365,54.0683590783439
2014,162,85,52.4691358024691,"CLE",71.1963,43762500,61.4673796250648
2015,162,85,52.4691358024691,"LAA",139.449583,94450000,67.7305718440191
2017,162,85,52.4691358024691,"MIN",94.2875,66200000,70.2107914622829
2013,163,86,52.760736196319,"KCR",74.8213,41750000,55.7996185578171
2013,163,86,52.760736196319,"WSN",111.356769,55313519,49.6723454682849
2016,162,86,53.0864197530864,"DET",190.855981,114125000,59.7963969491739
2015,162,86,53.0864197530864,"HOU",63.5642,36200000,56.950295921289
2017,162,86,53.0864197530864,"MIL",49.143998,35607698,72.4558429291813
2016,162,86,53.0864197530864,"SEA",123.457243,80107143,64.8865478066767
2016,162,86,53.0864197530864,"STL",123.128499,73500000,59.693735079155
2017,162,87,53.7037037037037,"COL",101.309904,61478571,60.6836731382156
2016,162,87,53.7037037037037,"NYM",145.326379,85742847,59.0001950024503
2015,162,87,53.7037037037037,"NYY",192.687142,106982142,55.5211629014665
2016,162,87,53.7037037037037,"SFG",148.530444,71144444,47.8988967406574
2014,162,87,53.7037037037037,"SEA",82.536142,62657142,75.9147937881565
2018,39,21,53.8461538461538,"COL",139.328498,80083333,57.4780709973634
2018,39,21,53.8461538461538,"PIT",84.585833,45083333,53.2989170893428
2018,39,21,53.8461538461538,"SEA",165.303943,102107143,61.7693329916516
2018,39,21,53.8461538461538,"STL",146.916999,83883333,57.0957299502149
2018,39,21,53.8461538461538,"WSN",180.193628,104329761,57.8986960626599
2014,162,88,54.320987654321,"OAK",65.8159,39815000,60.4945005690114
2014,162,88,54.320987654321,"PIT",77.340499,41708333,53.9281922657365
2014,162,88,54.320987654321,"SFG",118.380775,54477777,46.0191082546976
2015,162,88,54.320987654321,"TEX",112.907373,81533333,72.2125852666858
2016,162,89,54.9382716049383,"BAL",133.324358,75221666,56.4200474154918
2014,162,89,54.9382716049383,"KCR",84.771,48250000,56.9180498047681
2016,162,89,54.9382716049383,"TOR",146.1799,80650000,55.1717438580817
2013,163,90,55.2147239263804,"CIN",90.025772,42025000,46.6810770586894
2014,162,90,55.5555555555556,"DET",172.571526,89268026,51.7281315574622
2015,162,90,55.5555555555556,"NYM",92.030203,62847170,68.2897222339062
2014,162,90,55.5555555555556,"STL",90.653693,64377360,71.0146027917473
2013,163,91,55.8282208588957,"TEX",110.9171,49250000,44.4025312598328
2016,162,91,56.1728395061728,"LAD",185.36338,107935384,58.2290763148579
2017,162,91,56.1728395061728,"NYY",171.746342,99057142,57.6764202640194
2018,39,22,56.4102564102564,"ATL",83.306041,56726041,68.0935503824987
2018,39,22,56.4102564102564,"MIL",90.827856,54172156,59.6426673332463
2018,39,22,56.4102564102564,"PHI",93.188166,70725000,75.8948298220613
2013,163,92,56.441717791411,"CLE",69.2749,38300000,55.2869798440705
2013,163,92,56.441717791411,"LAD",171.050552,79107142,46.2478145057375
2013,163,92,56.441717791411,"TBR",51.903072,21769254,41.9421301305634
2017,162,92,56.7901234567901,"CHC",168.263502,99192788,58.9508638658905
2015,162,92,56.7901234567901,"LAD",176.98526,96357142,54.4435971673573
2013,163,93,57.0552147239264,"DET",151.42,77100000,50.9179764892352
2017,162,93,57.4074074074074,"ARI",78.042999,56110299,71.8966463602968
2017,162,93,57.4074074074074,"BOS",173.704598,118117348,67.9989760547386
2016,162,93,57.4074074074074,"BOS",160.606261,103475000,64.4277497998661
2015,162,93,57.4074074074074,"TOR",98.8957,7.1e+07,71.7928079785066
2013,163,94,57.6687116564417,"PIT",77.554,47208333,60.8715643293705
2016,162,94,58.0246913580247,"CLE",60.7619,26691667,43.9282955272959
2014,162,94,58.0246913580247,"LAD",208.52126,111107142,53.2833640080633
2015,162,95,58.641975308642,"KCR",106.164525,4.9e+07,46.1547772196033
2016,162,95,58.641975308642,"TEX",130.038723,85833333,66.0059796188555
2016,162,95,58.641975308642,"WSN",140.936679,70309805,49.887513668461
2013,163,96,58.8957055214724,"ATL",73.600692,43896942,59.6420234744532
2013,163,96,58.8957055214724,"OAK",39.1995,22425000,57.2073623388053
2018,39,23,58.974358974359,"LAA",171.248332,102449999,59.8253996424327
2014,162,96,59.2592592592593,"BAL",96.638455,57946622,59.9622810608882
2014,162,96,59.2592592592593,"WSN",129.700068,67577418,52.1028392984343
2013,163,97,59.5092024539877,"BOS",156.522142,75682142,48.3523551575214
2013,163,97,59.5092024539877,"STL",93.552086,53214086,56.8817738601788
2015,162,97,59.8765432098765,"CHC",116.26588,63500000,54.6161952242567
2017,162,97,59.8765432098765,"WSN",163.37549,88101190,53.9255857778912
2014,162,98,60.4938271604938,"LAA",128.0465,82400000,64.351622262225
2015,162,98,60.4938271604938,"PIT",84.706665,46374999,54.7477568618715
2018,39,24,61.5384615384615,"ARI",116.038416,63187816,54.4542214364595
2018,39,24,61.5384615384615,"HOU",172.0389,95200000,55.3363221922484
2015,162,100,61.7283950617284,"STL",102.76029,68902957,67.0521239284163
2017,162,101,62.3456790123457,"HOU",127.4439,69150000,54.2591681516338
2017,162,102,62.962962962963,"CLE",114.166166,54208333,47.4819597603024
2016,162,103,63.5802469135803,"CHC",173.555456,104810576,60.3902512865974
2017,162,104,64.1975308641975,"LAD",169.394811,96009193,56.6777650585767
2018,39,26,66.6666666666667,"BOS",206.247686,127046686,61.5990843165145
2018,39,26,66.6666666666667,"NYY",161.305917,99057142,61.4094906388338
