"year","Team","payroll","top20","top20share"
2003,"MIL",40.627,26462500,65.1352548797598
2004,"WSN",41.1975,26925000,65.3559075186601
2008,"PIT",48.689783,31837283,65.3880157978934
2004,"PIT",32.227929,21146429,65.6152277113432
2005,"LAD",83.039,54500000,65.6318115584244
2003,"CHW",51.01,33500000,65.6733973730641
2003,"HOU",71.04,46750000,65.8079954954955
2007,"SDP",58.110567,38416667,66.1096061926224
2004,"MIL",27.5285,18384167,66.7823056105491
2007,"ATL",87.290833,58333333,66.8264134906354
2006,"ATL",90.156876,60336876,66.9243197823314
2004,"SFG",82.019166,54920833,66.9609747068143
2004,"HOU",75.397,50500000,66.978792259639
2009,"SFG",80.12645,53700000,67.0190679856652
2003,"KCR",40.518,27250000,67.2540599239844
2006,"OAK",62.243079,41892454,67.3045978332788
2004,"ARI",69.78075,46975000,67.317992426278
2009,"SDP",43.7342,29525000,67.5100950743354
2004,"TOR",50.017,33800000,67.577023811904
2005,"KCR",36.881,24925000,67.58222390933
2004,"CIN",46.61525,31550000,67.6817136023083
2004,"ATL",90.1825,61125000,67.7792254594849
2008,"HOU",88.930414,60311414,67.8186587549227
2009,"HOU",102.996414,70311414,68.2658854511187
2010,"WSN",61.4,41950000,68.3224755700326
2004,"KCR",47.609,32650000,68.5794702682266
2005,"MIL",39.934833,27395833,68.6013460980293
2007,"MIA",30.507,20950000,68.6727636280198
2003,"TBR",19.63,13500000,68.7722873153337
2005,"TEX",55.849,38500000,68.9358806782574
2005,"ATL",86.457302,59686802,69.0361607629162
2009,"MIN",64.869266,45016666,69.3959848412652
2006,"COL",41.233,28850000,69.9682293308758
2004,"CLE",34.3193,24075000,70.1500321976264
2006,"HOU",92.551503,65297435,70.5525387307865
2003,"TEX",103.491667,73150000,70.6820192586134
2009,"TEX",67.623798,47873418,70.7937433505288
2003,"CLE",48.584834,34458334,70.92405420177
2003,"DET",48.868,34800000,71.2122452320537
2010,"CIN",60.136542,43097542,71.6661460181731
2010,"OAK",46.2449,33300000,72.0079403350423
2010,"CLE",60.759366,43854166,72.1767998698341
2005,"ARI",63.329166,46291666,73.0969139874667
2003,"SDP",45.21,33050000,73.103295731033
2003,"COL",67.179667,49366667,73.4845366232613
2003,"TOR",51.269,37975000,74.0701008406639
2008,"ATL",102.365683,78308517,76.4987979418845
2004,"COL",65.445167,51266667,78.3352986172379
2005,"HOU",76.779,60900000,79.3185636697534
2005,"COL",48.155,38625000,80.2097393832416
